,0,1
0,developmental,63
1,gastrointestinal,240
2,faecal,244
3,intestinal,2905
4,blood,383
5,bowel,106
6,abdominal,338
7,pain,253
8,anaemia,203
9,anemia,198
10,growth,218
11,diarrhoea,99
12,gall,23
13,bladder,30
14,volvulus,61
15,obstruction,266
16,gallbladder,148
17,gut,73
18,cancer,28
19,cholangitis,116
20,occult,11
21,metabolites,18
22,pancreatitis,195
23,peritonitis,38
24,eosinophilic,76
25,cough,12
26,anorexia,14
27,microbiota,20
28,gastric,36
29,hyperactivity,4
30,appetite,24
31,intussusception,28
32,rectal,12
33,prolapse,6
34,hepatopancreatic,2
